cnae,p49100_h1,p40800_h1,p40100_mas_40500_h1,p31200_h1,p32300_h1,p10000_h1,p20000_h1,target_status
6420,5469000.0,-9649000.0,52574000.0,45612000.0,14749000.0,123641000.0,28385000.0,0
6419,0.0,0.0,46192000.0,0.0,0.0,1339125000.0,102699000.0,0
7010,1911000.0,-2529000.0,35679000.0,11491000.0,6909000.0,64849000.0,31115000.0,0
4299,1237430.0,-513934.0,32436917.0,4977184.0,4288033.0,33373266.0,4985911.0,0
6420,4554036.0,-3087892.0,29827663.0,26970546.0,5497509.0,106706220.0,40687389.0,0
7010,4232000.0,-1066000.0,23703000.0,2168000.0,549000.0,28394000.0,19699000.0,0
4642,4020734.0,-967985.0,23310532.0,498.0,125382.0,19621435.0,12751554.0,0
6419,0.0,0.0,26781000.0,0.0,0.0,731856000.0,55428000.0,0
6420,3006000.0,-1759000.0,23449000.0,15003000.0,2599000.0,47114000.0,19005000.0,0
6420,0.0,0.0,22813170.0,0.0,0.0,67881760.0,9126500.0,0
6420,2484000.0,-1273000.0,22567000.0,7609000.0,1014000.0,27373000.0,5664000.0,0
4711,779345.0,-312977.0,19823515.0,18499.0,0.0,8194637.0,4911843.0,0
6420,782312.0,-328869.0,19824555.0,22911.0,7176.0,8613147.0,5308513.0,0
1920,938389.0,-700052.0,18065822.0,2415194.0,993345.0,11708024.0,4720220.0,0
6420,1965000.0,-1467000.0,18979000.0,4824000.0,1144000.0,30964000.0,9088000.0,0
1920,777607.0,-336260.0,16161180.0,15281.0,30732.0,8418518.0,3255789.0,0
1920,589972.0,-282001.0,13477469.0,2115658.0,939982.0,9834947.0,3283365.0,0
4719,319454.0,-519153.0,15786628.0,4189500.0,352081.0,18509046.0,8658815.0,0
6420,2141262.0,-1605415.0,14475554.0,629700.0,102949.0,33914157.0,15218821.0,0
4671,202218.0,-117615.0,12357809.0,80703.0,13974.0,2544378.0,1156000.0,0
2910,57863.0,-362534.0,13041794.0,48782.0,12533.0,3963237.0,1052220.0,0
4671,76660.0,-490.0,10959335.0,0.0,18586.0,1230275.0,61961.0,0
3514,850034.0,-53616.0,11767670.0,4813.0,10310.0,2214935.0,94592.0,0
6420,926000.0,-342000.0,10766000.0,7881000.0,371000.0,23397000.0,7426000.0,0
4719,91509.0,-373029.0,11001619.0,3553904.0,255589.0,12607239.0,5623699.0,0
6499,663995.0,-459900.0,9523889.0,3034129.0,1121170.0,10784687.0,3771861.0,0
4642,2401898.0,-78326.0,9494686.0,608.0,63674.0,8227527.0,3697666.0,0
2910,143500.0,-323300.0,9023100.0,132500.0,145100.0,4877100.0,1487700.0,0
6511,0.0,0.0,9487208.0,0.0,0.0,55231235.0,4382726.0,0
6419,0.0,0.0,9178000.0,0.0,0.0,418447000.0,36386000.0,0
4635,177143.0,0.0,9632004.0,4762.0,33627.0,6722817.0,491868.0,0
6511,0.0,0.0,9492008.0,0.0,0.0,55366484.0,3022221.0,0
2362,919000.0,-1706000.0,9650000.0,250000.0,525000.0,35835000.0,18736000.0,0
6419,0.0,0.0,8484567.0,0.0,0.0,347927262.0,23555562.0,0
2910,121296.0,-340377.0,8992948.0,45635.0,11385.0,3301224.0,1190774.0,0
9200,2322118.0,-6957.0,8860263.0,2047.0,1224.0,22465707.0,20805211.0,0
